indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Average area of living accommodation – m2/person,-6.673354,2.4033458,7.44777,10.706602,2.3160446,1.695072,-2.0498233,-1.1710074,-3.8062468,1.3452264,3.800214,1.1444452,-2.7759557,0.8065971,0.3129279,0.45724842,1.8964014,-0.87462616,-3.6373096,1.8512983,4.2073545,0.041303605,-0.08426532,-1.2705266,-4.967824,-0.84467095,-1.9738675,0.44231457,-1.8456507,0.17394017,1.9291961,2.5580049,-4.7362776,-3.8495388,-0.89271617,-0.45769054,0.82222843,2.115447,-1.2029644,0.27758747,-3.7611718,-0.6141265,3.0182421,3.215734,2.2559228,-0.99773264,0.49827927,0.4575432,1.5467553,-1.118141,-1.1760277,-2.5145016
Percentage of built-up areas,-8.408474,-3.8993537,5.4771085,6.602172,0.9911531,4.699017,-3.3248172,1.2152438,-3.616859,-6.269087,2.3174744,-6.7986145,3.4198437,5.484379,-0.9000847,2.0036316,1.750805,-0.35303995,2.7371132,-2.5660207,-0.66349113,1.9093482,-0.21901366,-1.6075838,-3.1115327,3.9295554,2.5790763,-1.3125026,-1.0044081,-1.2666535,-0.19266862,-2.4212613,-1.6461229,0.3589148,0.9313385,0.4880037,0.3498541,-1.4268763,-3.0046713,-0.56247157,0.7951014,-0.91091764,1.331202,-1.0514044,1.235265,-1.1567036,2.93835,-1.4993256,0.13773662,-0.0095614195,-0.041602522,-1.0515139
Built,0.88431424,-7.164679,-2.634068,11.72919,-0.4062559,-2.2808056,-5.5324554,4.616649,-3.2047343,-6.045649,3.3283913,-1.4692552,2.2022994,0.86171883,-0.20773947,3.4453118,1.8441947,-1.5612156,-2.625691,-2.5100317,2.9924078,1.291641,1.283275,-1.7943069,-0.7409122,1.3084465,1.5137618,1.5200224,0.23053192,-1.5015826,0.1139192,-0.3386736,-0.5661749,3.1092358,2.9160562,-0.41610578,-0.5323499,-1.1207325,-0.2937063,-1.6260562,1.7628167,-1.20392,-1.3787397,-1.9526345,-0.47020152,-1.1319807,1.0453575,-0.22164154,-0.6651766,1.710669,0.61260015,0.98001134
Open Space,-2.0806487,-1.696979,1.7242917,-1.4656894,0.7407347,-6.45502,-0.35821715,2.8378124,-0.51264477,5.153237,-0.31278235,0.8515139,6.838962,3.3651016,-1.0932572,3.1845434,-0.76224965,-0.9307523,-3.1321056,-2.366304,-1.0846889,0.44990343,2.2274888,-1.6620643,-1.9074879,-3.24446,-0.2803043,1.1039412,-4.7105846,-1.8839902,3.933106,0.86542356,-0.55596256,3.9469676,0.111046776,-0.923339,2.7342327,-1.4269187,-0.8020892,0.88151693,0.8734188,-0.49288222,-0.44898468,0.75724626,-2.8871944,-1.269554,0.21272439,-1.637191,1.6318922,-1.6781452,0.526237,1.2924407
Per capita Green Space,-4.1587777,6.081745,7.4729366,-1.398368,4.895632,-4.456787,-4.2973485,4.2011566,1.5692732,3.6916199,-3.6277022,1.1611195,-0.6888488,2.8758526,2.812772,0.2712677,0.59202534,3.9843383,0.4584568,0.26195088,1.08553,-1.3654306,1.5393183,-1.9561241,0.7094172,-2.2535806,-2.5448604,1.7867267,-4.6601424,-0.27450728,1.9104972,0.004139051,-0.97574246,0.7232251,-1.7316993,-1.0811853,1.5460225,-1.7638888,-1.9862928,0.4021828,-0.6730547,1.749149,0.4278149,0.956409,-0.71670955,0.92032903,-0.6456593,0.12266834,0.94747895,-1.5129232,1.4388535,-0.83164227
Lifecycle greenhouse gas  emissions,-0.9168724,7.033168,5.8592043,0.5589302,-1.1912156,-3.1567736,-3.3911722,1.4501984,6.9682474,-0.31579047,-0.123696595,-0.5345437,-0.15206149,0.75917006,-5.564477,-2.1226463,-6.550292,3.9351487,-0.550164,-0.25008872,1.5684645,-4.5834284,0.98911494,-1.6203787,-0.53086245,4.465912,1.5819323,2.6144319,-1.0709313,-5.3775654,-1.2919312,0.34146005,0.3076492,0.028293759,1.7269931,-1.2135487,1.7281493,-1.6986192,0.34172863,-0.75451314,-0.75271094,0.08570489,-0.9224731,-0.60731125,0.6911888,1.6746825,0.44157308,0.93691885,-1.8733051,0.7541217,-0.18282597,-1.5923111
Environmental impact of materials,2.5132987,4.8760905,-0.63778883,-7.198515,-3.5411847,-2.241923,-1.905343,-0.1630559,5.8947678,-0.6569213,7.258153,-0.88958853,-1.7205329,-0.35884756,-5.012818,-0.7915942,3.6637704,2.811854,0.5632539,-0.49427924,5.045338,-0.6696138,0.5282237,1.5610628,-2.448575,3.4551594,-2.608184,2.6093612,-1.103352,1.5726712,-2.4870577,3.3313487,2.2181523,3.4977026,-1.7696936,-1.3804063,-1.6758668,-0.65254563,-2.9497905,-2.6382918,0.9153792,-3.246625,-1.2816496,1.0621686,0.67890334,1.3006392,-1.4712566,-1.6269728,0.2907857,2.0252113,0.91161644,0.34846145
Recycle waste,-1.6234534,10.588499,-8.363533,-0.5465212,-9.117414,-3.8663793,-1.8581617,-1.1630361,2.0435445,1.2444664,3.9948401,2.436579,-3.1734238,-6.253748,-0.020556225,10.713367,3.6106782,0.4561764,3.9904537,1.7808926,-0.13835774,1.1128726,-2.642132,-1.6933081,1.6798731,0.57472193,-0.113643296,0.14739795,-0.24048351,0.6230123,5.159276,-1.2571318,-0.85457635,-1.0212188,1.399246,-1.773068,0.92612624,0.74468863,-1.5699201,-3.1790674,3.097986,-1.7645038,2.066063,-0.2758427,1.474656,1.0029004,0.3694336,0.5723877,1.220741,0.53533554,0.939481,-0.356247
Water quality,2.587697,7.3828964,-6.8156357,-1.6947097,1.4191108,-1.1368356,-3.766355,-6.27296,-6.253996,2.1873016,-2.8641038,-0.89644766,6.8721724,3.5091953,5.455518,-3.6878579,1.6687511,1.7823104,-4.0198174,-2.8463933,4.1754274,0.28992516,0.33673048,-0.3833149,-0.12667763,1.5758358,-0.46136427,-0.99158406,0.4347256,1.2335527,-1.9082336,0.018512726,0.89236754,0.9051176,-1.7458034,0.8000956,0.24006402,0.48425445,-0.74899197,0.48611265,-0.669572,-1.405302,1.2453643,-3.1788502,0.62533873,0.7154447,-0.028368533,-1.718517,0.19445482,0.4861394,0.82679737,0.6408762
Onsite wastewater recycling,1.6079487,7.176641,-5.502909,-4.3474264,-7.3439937,-2.5467634,-3.0813057,-2.5414405,-1.5943447,0.29008117,6.9205723,4.361603,1.1596082,-3.887343,1.0213819,2.26228,5.2607527,0.26891348,1.1207716,-1.961417,-2.1055622,1.570638,-2.6904495,-3.9505193,-0.64287835,1.8265612,3.802609,1.4369748,-3.339108,0.51707315,1.9035461,-0.5723873,-1.9135194,0.10872674,2.478006,1.435947,-0.022870533,1.6473725,0.3033492,-3.9523864,2.8184803,-2.8397112,-1.4565569,0.5335705,-1.241092,1.9843991,2.937827,-1.6763153,-0.6392208,-2.2642975,0.9432343,1.220839
Diversity of water resources,0.693274,8.0620985,-2.4462147,-8.012578,-5.1517706,-0.9255366,-3.909571,-7.8747687,-5.0551004,3.2069263,-1.1909438,2.7115276,2.0603032,5.5537653,-1.5828998,-3.950502,1.0571145,-4.6476316,0.7152286,-1.645065,-1.9124432,0.8057906,-5.965942,-0.88309246,-4.818034,0.46626696,-1.6362085,0.032910824,1.3461118,2.7242649,-1.5627809,0.97631335,1.012129,1.9989493,-1.0580244,2.9080422,0.6896308,-0.33814007,0.38503152,1.3895986,-1.1343845,0.89235675,-0.7130947,-0.28805453,0.33331543,2.238635,-0.5584143,-0.32900965,0.57049084,1.3199661,0.49451178,-0.15002209
Rainwater harvesting system,3.0505025,14.938847,-10.399825,-1.8710785,-1.9445555,-2.423048,-1.8665234,-3.671004,-6.9273963,-3.7333539,-3.5525157,1.963331,-0.3186077,5.2402215,1.8876766,0.46184874,0.3870306,-3.151968,0.32880932,2.0993304,-2.0664546,0.14542706,-1.688906,-0.32873183,-3.298693,-2.2256331,-2.0325818,-1.9020921,0.2217553,-1.9707975,0.617316,1.3069006,-0.5353111,0.5215541,-0.2833623,1.4995179,-0.410268,-0.8729072,2.020635,-2.7987623,1.9246827,2.7228038,-1.1875131,-3.2181437,0.13589954,0.6894068,0.07421279,1.4431235,0.58166915,0.46838123,-0.23771194,1.4532619
Air quality (no pollution),1.9329386,4.886701,2.3356495,0.16858548,8.321401,1.1638957,-0.85244536,-0.86452353,2.5776002,4.7987075,0.85353684,-2.2925162,4.358631,-4.015426,2.6930053,-3.1734548,-0.8725574,4.929488,-4.7860737,-2.036385,3.8091176,1.1408094,2.2263937,-0.728053,0.26943022,-0.4489923,-0.81814265,0.2852611,3.628088,-0.8238627,-0.9628834,-0.727339,-1.3438481,-1.2404417,-2.650057,-0.7575769,0.34758067,-1.5678775,-1.0414816,0.6530498,1.5356646,-1.3769774,2.6683955,-1.289446,-0.43627098,0.8475109,0.822582,-3.7284455,0.84416586,-1.0766467,-0.6265541,1.008671
Sustainable Resource Management,4.69421,5.162274,-9.091232,4.034938,-6.9309006,-2.374335,1.6929841,-0.17655525,1.935403,-0.75278413,-4.8970647,3.3717113,-3.5135965,0.39188617,-5.789596,-2.344152,0.34759125,-0.1432102,0.59326595,1.4160591,2.3300805,1.1599722,-2.6835468,-0.8196757,-0.58350664,1.3546274,1.5921688,2.212823,-2.7571263,-1.1247636,1.9619277,-1.3400959,2.9794183,-2.089512,0.30268657,3.0561159,3.0158837,1.2663324,-0.37738302,-1.649071,1.877785,2.5358925,-0.26538956,1.8101752,0.7226163,-1.865335,-1.9488952,-0.22247572,-0.52621883,-0.21209227,-1.7095454,-0.3163381
CO2 EMISSIONS,-4.982426,6.0168114,2.7391074,0.3052351,-1.0181609,-2.6814141,1.2486169,-1.5189784,8.69924,3.376563,4.2410808,-1.6241045,1.8014476,-3.6234279,-3.072769,1.2661177,-2.8080895,2.1229398,-4.1002936,-2.7767162,3.070023,-3.8792443,1.6765184,1.538229,-4.244636,3.2905445,0.1194537,2.9175024,0.70611703,-5.684377,-1.8815814,2.2120492,-4.444971,-0.14194795,-0.17702392,0.13688232,1.7887667,-4.16383,1.4381189,1.0620811,-1.7856048,1.1812017,1.6684277,-0.91529,3.7446346,-1.0380788,0.636632,-0.3120305,-1.457928,-1.1125028,-1.1100217,-3.4249918
% reduction of CO2 emissions,-3.5100858,6.0885158,0.9271036,-1.7943227,1.4628078,0.2965079,3.8683467,-3.1572762,8.647499,4.3226376,2.8067615,0.8609843,3.8619833,-3.8044233,-3.0452383,-1.5609283,-0.48194182,4.293572,-0.38849786,4.6142035,-0.50198424,1.0995907,3.6746936,2.065108,-5.1001487,0.87294894,-1.2108533,2.9565084,1.4886777,-5.073311,-0.39193308,-0.47184512,-2.7108095,-1.0928189,1.9155225,-3.406932,1.2869302,-2.6151845,3.650495,3.0225544,-3.1751142,-0.64528495,3.2974257,-0.87361765,3.4069648,-0.28609586,-2.3960373,-3.214389,-1.779295,0.6057185,-0.5544049,-0.17123789
Water consumption,-4.15487,12.404532,-9.433404,-1.8908279,-3.2481408,-1.0928206,-3.1476512,-7.179064,-7.0931797,-0.61883926,-3.9878473,-1.4844503,3.230409,7.516864,-0.9083803,-2.0671482,-2.0853746,-1.01379,-3.7598865,-0.87739223,1.8292894,-0.9132865,0.47486866,-2.889882,-0.56869584,1.1398306,-0.73287016,-1.9683452,-0.11116728,-0.6784619,-2.7634215,0.3002616,0.37557113,-1.0230378,1.8289697,0.77057636,0.7601986,-0.42523706,-1.7956471,-1.3596786,-0.48139328,1.6443143,0.24571761,-2.9175315,1.0314876,0.08964133,0.93098706,-1.5471272,-2.3035338,0.80169916,0.7093988,-0.3694446
Energy consumption related to water cycle,-0.51057625,11.682238,-8.159655,-1.6516739,-1.2751896,2.0021698,-4.362617,-5.890623,0.2782612,0.072704315,-2.4031444,1.0069137,1.0683832,6.439682,-3.5470946,-3.1995802,-2.9218254,0.25935888,-2.455836,1.3501699,-1.2605083,-3.7934895,-2.1991117,-3.5599818,-1.7129705,-1.5156677,2.4486785,-1.2851129,-2.701447,-0.71708435,-1.2367764,-0.56958014,0.85157794,1.3465159,1.3033842,2.173016,-0.028891731,3.1905065,-1.1798298,-1.9611934,-0.77964604,-0.6939137,0.33357272,-2.5126145,0.13972911,1.9498081,0.1819858,0.043999612,0.005945988,0.4823851,2.5109406,-0.9738986
Waste generation,-6.269122,10.707088,-3.5088048,-5.965804,-6.539006,-0.998493,-4.60026,2.7892218,-0.8792137,5.3462586,4.7644343,1.7293618,3.3324971,-2.452559,-3.6049864,8.129648,-0.24684805,2.6405756,-2.0344782,2.437871,2.5459795,-2.8445103,1.5800506,2.3817713,1.7470223,2.550912,-0.48703903,0.5385337,1.308636,-0.6788674,2.5630035,-1.648449,2.8854203,0.72106034,2.7248983,-0.3503899,0.21815866,-1.8607537,-1.4658548,0.30740422,-1.4072078,1.3227937,1.6389971,-0.9023959,-3.3040876,-1.7585791,1.8596842,2.6724384,-2.5425105,0.75708795,-0.99568456,-1.6052065
Energy consumption related to waste management,-0.03643912,10.703575,-6.351097,-2.43742,-3.4588404,1.7459927,-4.399564,1.2171063,3.7730541,3.4902089,4.8058443,3.6145988,-1.3890755,2.6811972,-7.397705,0.662084,-3.2024903,4.7609887,-2.5713825,3.7331562,-1.8044804,-2.7041903,-0.30099994,0.29489636,-0.35089868,-0.7998847,2.363196,-0.30846,0.09956151,0.06633547,1.2446264,-2.7409663,2.7615988,1.3840003,3.9480457,1.4744564,0.12172887,2.8941283,-3.1541483,-1.9548415,-1.9663057,0.19019577,0.3836999,1.5740459,-0.2343437,-0.07532634,0.46219742,-0.35671535,-0.5786907,0.10407555,0.3196466,0.28439265
Solid Waste Management,3.543209,8.52125,-9.087259,-2.7308888,0.6753313,-1.4079081,-4.9159274,1.7716831,-2.7464535,4.345523,7.064182,0.79017395,2.7740164,-3.5225632,2.9204345,0.9955777,1.8319246,5.821178,1.8426903,3.8096972,2.8418455,2.076543,-1.2652282,4.5845222,0.1885224,-0.6432271,-1.110963,1.6068553,3.9135396,2.2693048,4.8655596,-1.852217,0.39946032,-3.3865614,2.034734,-0.35196424,-1.1943955,0.8777787,-0.77818686,-0.1878151,0.260075,-0.17332412,0.7738368,1.8613567,-1.494609,-1.8228524,0.26454794,-0.80959105,-1.0889915,2.3933964,-2.7189279,0.82863396
Construction Waste Management,0.74183416,8.778469,-9.007965,0.057360828,-4.4996734,3.125616,-5.9419665,4.571984,-3.0944238,-1.2340868,9.640853,2.5535984,1.0991048,-0.47541988,-1.2055155,2.8985744,-0.6609349,3.8165846,2.3076782,-0.33587563,1.155139,2.0625277,0.82521373,4.262005,-0.48394394,-1.7443347,-2.2600167,-2.147764,2.8166723,-2.660668,3.3034847,-1.7846925,1.7091587,-3.059575,5.12549,-0.99149585,-0.8110812,-2.2689843,-0.024938464,-3.8437958,-0.1340347,-0.7714511,-0.5406375,1.7691475,-1.4811652,-0.34367886,0.20203637,1.9088912,-0.95497096,0.35852575,-1.5639611,2.4484336
Regional Materials,1.1498263,2.459756,1.9431034,0.028272208,-5.2461166,-0.68530726,-0.48767886,0.06610297,0.406093,3.8693547,4.407044,-4.473592,-3.0013556,-1.6319528,0.5113275,1.6566424,1.7649654,-4.8827047,0.5551908,-2.080022,1.234484,0.0029317439,-3.4759824,3.8040287,1.4682919,0.9711076,1.4725008,1.277366,-0.39840654,1.6473262,2.05318,3.000844,3.6717172,2.594551,-1.334904,-1.0604367,-2.1084256,-0.11052957,1.3672754,-1.1924869,2.5099578,-2.9665086,-1.9744387,0.23438394,5.8345757,0.24561563,0.35037038,-0.011588588,0.9083397,-0.34720778,1.2810749,-0.14684524
Responsible Sourcing of Materials,4.2273808,3.9408522,-10.455999,6.1998405,-0.6870684,2.5998073,0.6970707,2.6156554,2.184916,2.2468643,0.01893428,-0.8565334,-0.39546025,-3.8018725,0.096177526,-1.2583683,1.976862,-1.2995664,1.5500522,-0.80463266,4.6973224,0.7594011,-4.6485357,6.4281898,-0.16564697,-1.1886736,-0.28556603,2.2656868,3.3470213,1.8247925,-0.67799366,0.9860836,2.2262275,4.467759,0.58619016,1.1937723,0.91353923,-3.375124,-1.8399737,-3.9007018,0.15614015,-0.58424073,-1.156682,1.7046397,4.353257,-0.44067696,-1.6147888,-3.4373682,2.8292935,-0.004602149,-1.9004132,1.6142801
Organic Waste Management,2.7183142,6.8319283,-5.172292,-3.3774529,-6.726217,-4.031114,-2.5178726,0.6688625,-0.07220628,-0.88937724,5.7398977,4.201676,0.37332144,-3.279994,0.82986736,-0.4196126,4.944916,5.7260137,-0.47794142,0.7417656,0.076645926,2.121521,-0.3204931,0.5831789,0.05654819,0.6154485,0.75791544,4.0381927,0.6486505,1.2921369,2.477774,0.0863114,0.094852954,-2.134561,2.1728613,-0.9639555,2.0615642,-2.179403,-0.7044073,-2.2578826,3.1651835,1.7275851,0.85898674,0.5773515,0.7279461,-1.7269222,1.8647345,1.375397,-0.26159036,-0.14971308,-2.7266734,-0.8962607
Rainwater Management,2.6662772,15.032854,-8.871311,-1.1077302,0.3738156,-1.5027792,-2.1326053,-3.956679,-7.5229187,-5.386865,-3.3967762,1.8397115,1.7763793,6.727826,0.5237123,0.90324855,-0.810351,-2.729733,0.09416515,3.9242363,0.6835752,-1.3587412,-1.2488726,1.0977371,-2.8738031,-2.1333961,-3.6072552,-2.1643178,1.9256835,-1.4734132,0.5954925,1.6192787,0.5793349,-1.5884674,-0.79862857,0.7778246,0.7747151,-1.635123,2.4690487,-2.0357432,1.4930506,2.742118,-0.74846053,-2.6951597,-0.7323106,-0.47423244,-0.3439667,1.3545439,0.9498439,0.29824728,-1.8195062,-0.3219825
Outdoor Water Use Reduction,0.34285864,10.2190275,-4.726319,-7.3738647,1.6525915,0.40499622,0.4447276,-3.0486856,-4.291534,2.511794,0.1316646,1.2123172,3.9219937,2.57277,-3.4585266,-4.630987,1.6936673,0.3390758,-0.055012673,5.5629277,-3.1487288,1.6239622,3.2574282,0.44596714,0.029904515,-2.1914773,-4.4364004,0.21304618,0.631269,-4.499345,-1.0883739,-3.3034062,-1.0475074,-0.62185967,2.533546,-2.6748695,1.0040321,2.6078844,1.5428472,-0.17552295,-0.14567275,0.33637196,0.43087173,-0.38591617,2.7656956,1.2789366,-2.4177232,-2.3869739,-1.6368513,0.70945185,-0.4131086,0.95329815
Wastewater management,0.2188277,12.813273,-8.9614935,-1.6546693,-0.82155335,-0.80253613,-2.477241,-5.311708,-7.1768274,-2.7192535,3.1165574,1.6609664,2.3560324,5.7428393,1.2684338,-2.5853565,1.006846,0.59441966,-1.2890334,0.9557916,1.9119964,0.7442799,-0.16232774,1.1487949,-1.3142605,-1.1956152,-2.697604,-1.8492081,2.7820537,-0.4961271,1.2806555,0.59403276,1.2242339,-1.703064,1.8854812,-2.0447853,-0.46159664,0.841296,2.41954,-1.2644298,0.96813506,2.6549575,0.3480808,-0.63762033,-2.3544066,-0.8111638,0.13465773,1.3970966,0.5180681,1.5065738,-0.32877496,-2.1004941
Sustainable Storm water Design and Management,4.908814,8.892179,-11.570753,0.8881767,0.39285037,0.1330419,-2.5791464,-3.092688,-2.5026116,-4.8100038,-1.8710303,2.0046532,0.7984714,4.1315956,-1.5212536,-1.2761496,0.32203925,-1.9668972,0.2509107,3.6782227,0.53060025,0.4779231,-1.9989448,-3.219709,-2.6828885,-1.387148,-0.049225718,-0.48308283,0.33084768,-2.064295,2.226582,0.87330884,0.7434045,-2.212469,-0.6225717,2.3007448,1.483119,-0.081237555,1.9822448,-1.656407,2.78555,2.1643815,-2.9257479,0.061483204,-1.1708244,-0.006514661,-0.44331983,1.4745224,-0.41894427,0.45408633,-0.7567872,0.5378529
Regulation of Quantity of Water,-3.1870203,7.9703083,-7.0599313,-2.398627,-0.94254315,0.08283558,-1.7619,-5.8099747,-7.409112,-4.4185705,-0.06714195,2.058394,1.8721178,3.7766757,0.82215655,-3.8671477,-4.646901,-2.6441555,-0.22061288,0.74865526,3.6075387,0.57056034,0.030993521,-1.5155964,-0.68634856,-1.2597678,-0.5164702,2.3528285,-1.5638356,0.15630683,-0.9221623,1.5550548,-1.3436282,1.3664074,0.24642314,-0.4236719,0.019681633,-1.0268056,-0.103012115,-1.5079006,0.18342367,-0.035181433,-1.1636525,-0.77386594,3.7640328,1.4879341,2.4905224,0.1936791,-1.4887893,0.94506,1.2541151,-2.5084538
Climate Regulation: Carbon Storage and Cooling Effect of Vegetation,6.953636,8.247899,0.60095227,-3.4688225,1.5714791,-1.041371,6.5031214,1.2935066,6.2379465,-6.472826,-0.43190843,-1.9298525,-3.4291282,-0.5749805,-2.017602,-2.1993132,0.27771062,-0.1439013,1.8408133,2.779671,-2.0559702,-3.3672183,0.435578,-1.9665654,-4.173913,-4.319272,1.8183005,-2.211358,0.75314033,-0.31395692,-2.6241558,1.9464478,-3.810464,0.7021471,-2.5612779,-2.4979048,-0.71666986,-0.3946092,-0.5724558,1.0878305,-0.36336416,-1.4563915,0.96933,-1.2859524,1.7483702,1.6001267,0.8066142,-1.3113514,-1.5359529,1.2597913,-0.87453485,-2.7816806
Environment and Sanitation,-0.090304345,7.5631924,-1.1170717,-7.257604,2.600776,-0.93616384,-3.1765218,-2.6455915,0.22202227,-2.582257,5.371626,1.9302461,4.1978936,-2.1958418,-3.8162827,-2.331308,5.167697,7.738846,-1.427591,-0.50250864,0.44174743,-2.6683602,0.57184803,1.3492972,-0.14759661,4.206377,1.7476887,1.7814484,0.75237983,0.34577534,0.5000608,1.6708145,0.52202153,-2.358261,-3.5726807,1.1742878,-2.0913043,-2.400342,0.87008137,0.9335067,-0.44656634,-0.6102594,-0.7780019,-1.048833,-2.5908468,-1.3589816,-0.83455074,-0.50443614,-2.5468554,0.99671364,-0.32850438,-0.6136229
Noise,-2.4399436,-2.5447388,1.6899601,1.2239313,-3.1275136,-7.954229,7.751606,-1.0807071,-2.6419241,1.2871299,-0.26336715,1.0254564,7.314847,0.15466318,-1.8328744,5.444337,4.8212833,2.181029,-4.9852014,-3.1882355,2.0419617,-0.74572426,0.28602755,-0.34420246,-1.3327223,1.3593907,2.7339365,2.18615,-2.8232484,-3.5130653,1.9045377,-0.84398174,4.0516667,1.155189,-0.7833201,-2.8907485,2.885523,0.5131848,-1.2481897,3.7953405,0.45032135,0.39269078,1.5904636,1.0997375,-0.9816438,2.5383584,-0.9262532,-1.8412039,2.679547,0.5624291,-1.9591959,-0.18056431
"Energy Conservation, Carbon Reduction",2.5311835,7.8460407,-5.684001,-0.19424915,1.3099319,3.3983722,-0.1285637,-3.1978834,9.598232,3.400962,-0.22837783,0.5486374,-1.2388346,-3.073238,-7.5700107,-1.2926148,-1.0513644,3.1851196,1.8177722,3.20114,-3.2792168,-0.0680708,0.49301314,1.8959509,-2.8151155,-2.6614113,1.7032117,2.136743,-1.0763571,-3.4341936,-1.946668,-1.7263229,-1.7778783,1.4279039,0.82675314,-1.8578146,2.334345,1.026191,-0.6076169,2.5420005,0.21679598,0.44743615,1.3575763,-0.2727282,2.277678,0.42187485,-2.9690483,-1.3748289,-1.7521853,1.0350969,-0.19960189,-0.26027483
Percentage of solid industrial waste used,-6.1069307,5.6537075,-3.0562224,-1.7344819,-8.322779,2.126089,1.8856277,1.5912606,0.11249995,-2.7476418,8.920403,2.0248902,2.2923033,-4.1788282,2.4134142,3.4319904,-2.1213138,7.414704,1.9471713,-1.4485605,-0.53019804,1.1936867,-2.7920485,-0.120060496,-1.153544,2.5067577,2.6371286,-1.9989887,-0.75290126,0.1581381,1.2875674,-0.6315558,0.21853441,3.942065,-1.6546164,2.3240833,0.17715019,2.616119,-2.6262953,0.35613734,-1.0779827,-3.373621,2.374846,-0.9751566,-1.554508,0.2630689,3.1606019,-1.4447166,-1.7900312,0.7527104,-2.603643,-1.024934
Percentage of wastewater treated,-5.190466,8.185341,-3.6383605,-1.9577736,-3.9967413,2.35547,-1.2621403,-8.043484,-4.6741953,-6.02991,-0.031084891,4.016922,5.384692,1.3156161,0.831285,-2.8196194,0.79062706,2.0935602,1.9217529,-0.3770768,-1.4819221,2.2529392,1.3111192,-2.8273566,-2.4793863,2.0475967,3.3163986,-3.889873,-2.4805202,2.4871378,0.41614872,-0.44440293,-0.045562863,-1.0518767,-0.107831866,1.3149438,-1.325051,0.3169851,-3.1436217,-0.43401608,0.5859554,-3.1304288,1.6812873,-1.4334986,-0.3125583,1.1978167,0.6104314,0.2905049,-1.3852725,-2.266614,1.3807224,0.82646763
"Output value of waste gas, wastewater and industrial waste for multipurpose use (in millions of yuan)",-3.0379565,7.055366,-4.8185844,-5.5239744,-6.910596,7.473338,-4.2428317,2.8725595,-1.3800814,2.4076383,2.5980563,4.0828433,0.9532547,-1.480206,1.2044909,3.5170584,-2.2698662,1.3935962,0.23988709,1.1850108,-1.0244973,2.520884,-4.0573435,1.7495528,0.12925269,7.204879,0.30179048,-0.63463235,0.021363378,1.880151,0.49888188,0.87415266,1.828098,-1.6965961,-0.7398163,0.7847263,-0.18434519,-2.6358764,-0.053063482,-1.8184044,-1.7532156,-1.0891587,-1.4804409,0.5684327,0.50646734,1.1762152,-0.57292104,-0.059757464,0.1348812,-0.45103085,1.306651,1.0374291
Volume per capita of domestic water use,-7.2519865,11.534583,0.27358592,2.5191453,-3.8643599,4.4413967,-4.656046,-2.6920002,-7.561857,-1.1571369,-0.12395979,3.8264682,1.911387,5.624216,-0.008107752,-2.8479664,-1.4851875,1.8481643,-4.976802,4.3701363,-0.44484848,3.9124084,-0.86519855,-3.2844174,1.222836,0.86612284,0.09014306,0.7106038,0.35028708,0.8654282,-1.1810198,0.059731722,-1.6698508,1.397191,-0.09780705,1.4522449,0.5709989,1.6264963,-1.769281,-1.9138403,0.7109507,0.29543823,-0.30816793,1.7550496,-0.2905676,2.3613532,0.9336702,0.5489551,-0.9865488,0.08102819,0.47211206,-1.2183754
