,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
Land devoted to transport facilities by mode,Places heterotopic,Spaces rural pedestrian,L/T ratio,"Impairments through visual, acoustic or olfactory disturbances",Sense of place landscapes,"0,27","0,27","0,26","0,24","0,24",general
Land reclamation,The age of land,Acres of preserved land,Understand how heritage conservation works,"Vinehouse, cave",Ensure the quality of the traditional resource use activities,"0,59","0,53","0,44","0,43","0,43",general
Land use,Land lot sizes,The age of land,Trees Land Cover,Acres of preserved land,Landscape value index,"0,66","0,66","0,55","0,53","0,5",general
Land use change,Diversity of landscape,Landscapes injured,The age of land,Change in tradition and customs,Trees Land Cover,"0,53","0,46","0,45","0,45","0,44",general
Land use efficiency,Efficiency of landscape management,Efficiency of the measures referred to landscape planning,Effectiveness of landscape management,Landscape value index,Efficiency of planning in relation to the landscape,"0,66","0,54","0,52","0,49","0,47",general
Land use miscegenation,L/T ratio,Cultural events related to olive farming,Contiguity to Farmlands,Pollution of the façade with modern stylistics,The age of land,"0,56","0,55","0,52","0,44","0,42",general
Landscape and vegetation cover,Trees Land Cover,Permanent grassland indicator,Forest edge indicator,Existence of fruit trees,Diversity of landscape,"0,84","0,66","0,62","0,61","0,6",general
Leisure,Free time & social interaction,Degree of unobstructed view,Places of personality,"Cultural, leisure and sport facilities, programs, courses",Viewscape quality,"0,56","0,47","0,41","0,41","0,4",general
Level of qualification/education,Educational,Promotion and education in Past Identities programmes and spaces,Scientific/educational landscapes,Areas and objects of educational or scientific value,"Workspaces of Artisans, Intellectuals & youth","0,84","0,62","0,57","0,52","0,5",general
Life Cycle Assessment,Results: delivery of cultural ecosystem services indicator,Processes: governance of cultural ecosystem services indicator,Structures: governance of cultural ecosystem services indicator,Remains of periods,Frequency of sharing salmon legends annually,"0,45","0,43","0,37","0,33","0,33",general
Lifecycle Cost.,Remains of periods,Availability of cultural site maintenance fund and resource,Permanent grassland indicator,The age of land,Historical path,"0,42","0,38","0,36","0,35","0,34",general
Lifecycle emissions,Degree of unobstructed view,"Impairments through visual, acoustic or olfactory disturbances",Remains of periods,Viewsheds,The age of land,"0,37","0,35","0,35","0,34","0,32",general
Lifecycle greenhouse gas  emissions,Traditional and environmental engineering,Total hedgerow length,"Impairments through visual, acoustic or olfactory disturbances",Permanent grassland indicator,Trees Land Cover,"0,44","0,32","0,29","0,27","0,25",general
Lifelong learning,The age of land,Remains of periods,Traditional arts,Historic relic indicator,Historical path,"0,5","0,45","0,4","0,4","0,4",general
Light and noise pollution,"Impairments through visual, acoustic or olfactory disturbances",Number and visibility of disturbing elements and objects,Pollution of the façade with modern stylistics,"Impairments of characteristics, aesthetic and cultural value",Increase in the number of artists and arts,"0,68","0,4","0,36","0,33","0,31",general
Light pollution Reduction,Diminish the negative visual impacts of forestry operation,"Impairments through visual, acoustic or olfactory disturbances",Cleanliness and Improvements,Loss of authenticity and becoming impersonal,AHB,"0,6","0,4","0,34","0,34","0,28",general
Local accessibility/local transport system,Accessibility,Adjustment for disabled,Community arts funding,Community participation in process and type of participation,Identify the culture,"0,47","0,27","0,25","0,24","0,22",general
Local and renewable electricity production (share of total production),Local concept of sustainable use,Arable field indicator,Distance from the centre of the old town zone,Viewsheds,Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,"0,41","0,33","0,27","0,25","0,25",general
Local and sustainable industry,Local concept of sustainable use,Using local material in construction,Sustainable use of heritage and local traditions in tourism,Effect on local business and jobs,Valuation of local culture,"0,62","0,59","0,57","0,53","0,45",general
Local job creation,Effect on local business and jobs,Using local material in construction,Enhancement of industrial,Organizations listed on Councils Artist Register,Creative hubs and meeting points,"0,71","0,48","0,41","0,38","0,36",general
Local productivity,Enhancement of industrial,Effect on local business and jobs,Efficiency of the measures referred to landscape planning,Using local material in construction,Places of personality,"0,49","0,45","0,39","0,38","0,37",general
Lone parent households per 100 households with children aged 0–17,Comparability of new construction with local vernacular,Educational,Percent of population participating in first salmon ceremony in past year,L/T ratio,Experience with local natural- non-agricultural and non-timber products,"0,43","0,4","0,38","0,37","0,36",general
Long–term management,Events successfully implemented and evaluated,Remains of periods,Well-preserved village,The age of land,Spatial coherence,"0,46","0,41","0,37","0,35","0,35",general
Low-income household's p. year,Diminish the negative visual impacts of forestry operation,Percent of population participating in first salmon ceremony in past year,Frequency of sharing salmon legends annually,Proximity to residential areas,Comparability of new construction with local vernacular,"0,36","0,27","0,25","0,24","0,23",general
"Main ceiling, wall and floor material",State of the building,Listed built elements,High architectural values,Percentage of renovated buildings,The quality of man- made structures,"0,58","0,47","0,42","0,42","0,41",general
Management and action plan,Clear strategy,Implementation of activities in the area,Events successfully implemented and evaluated,Effectiveness of planning in relation to the landscape,Structures: governance of cultural ecosystem services indicator,"0,78","0,59","0,58","0,53","0,49",general
Material recycling,Cemetries,Memorial stones,Archeological reserves,Barrow (traditional elements),Research  centers,"0,41","0,39","0,35","0,33","0,33",general
Mean size of Green Space,Urban green space,Acres of open space,Degree of unobstructed view,Trees Land Cover,Permanent grassland indicator,"0,67","0,53","0,43","0,42","0,41",general
Mean soil sealing  of UMZ of core city (EEA ),Cemetries,Sight line homogeneity,Plan that does not spoil natural and historical environment,Protection of the Archaeological Heritage,Building footprints,"0,45","0,39","0,37","0,34","0,34",general
Median disposable annual household income - EUR,Effect on Property Value,Landscape value index,Historic monument values,Valuation of local culture,Proximity to residential areas,"0,4","0,3","0,29","0,28","0,28",general
Median household income,Effect on Property Value,Proximity to residential areas,Number of products of denominated origin,Availability of cultural site maintenance fund and resource,Valuation of local culture,"0,45","0,36","0,34","0,33","0,33",general
Meeting points,Clear strategy,Viewpoints,Creative hubs and meeting points,Process transparency,Accessibility,"0,54","0,5","0,49","0,48","0,4",general
"Member-economic Accessibility to Digital Technologies, ICT Affordability",Community arts funding,Valuation of local culture,Development of a public arts fund,Availability of cultural site maintenance fund and resource,"Commercial activities linked to Crats, Artisans, Craftsmanship,","0,49","0,39","0,39","0,39","0,36",general
Mixed Use Development,Audiovisual and multimedia performances,Consult with cultural owners to modify operations such that they are acceptable,Pollution of the façade with modern stylistics,Comparability of new construction with local vernacular,Commodifcation,"0,4","0,36","0,33","0,32","0,32",general
